x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
57.82816,172.8752,592.5524,13.973112,160.54007,594.96765,-14.883297,134.70026,598.22516,-29.88657,110.251274,603.92834,-47.089657,89.42417,604.1203,14.678141,85.71914,588.8011,3.2255323,46.74529,586.80133,-3.270426,21.085188,581.94025,-8.003587,-0.61256635,575.6443,39.853504,80.19055,582.7059,36.326015,36.93272,579.8926,34.35337,8.460405,575.5055,33.205845,-15.48574,570.7897,62.800186,84.1477,577.53253,66.6534,44.03997,573.1571,69.661835,17.732265,570.15894,71.36867,-5.014566,567.42377,84.44471,94.74184,572.7237,97.24429,65.2002,568.86017,104.19656,44.910583,566.636,108.1791,25.783154,564.29285
58.074883,173.13286,592.3013,14.8462925,160.85216,595.5347,-13.931316,134.85323,598.86084,-29.282639,110.36688,604.3272,-46.940052,89.64155,604.41394,14.551382,85.96604,588.3481,3.7376294,47.09244,586.9697,-2.331458,21.346098,582.4277,-7.0063677,-0.37126756,576.152,39.607544,80.43217,582.5096,36.574413,37.061493,580.0325,35.027233,8.610174,575.8361,34.19126,-15.218414,571.28864,62.59111,84.35046,577.60095,66.81966,43.93444,573.3594,70.190636,17.392189,570.5518,72.141335,-5.4965525,567.99615,84.31938,94.88224,573.0093,96.99951,65.42983,568.6618,103.992775,45.103397,566.17346,108.07102,25.951422,563.61426
58.353157,173.2671,592.49194,14.213989,161.0558,595.22595,-15.003557,134.95863,598.08954,-29.750713,110.39078,603.87256,-46.783955,89.417404,604.4645,14.4850235,86.02149,588.3241,3.1712797,46.9186,586.6582,-2.937769,20.938906,582.1207,-7.211305,-0.9600637,576.1131,39.719627,80.41848,582.4373,35.48097,37.17533,579.1737,33.62128,8.805742,574.80914,32.71374,-14.961347,570.2855,62.729874,84.318306,577.5055,66.62049,44.134594,572.9746,70.0869,17.804867,570.3088,72.175415,-4.9607167,567.91876,84.395485,94.87635,572.84753,97.05402,65.53424,568.5776,104.15551,45.259407,566.33057,108.424545,26.063078,564.0844
59.265976,172.97408,593.5292,15.058006,161.11774,596.1029,-14.69183,135.00386,598.8448,-30.03237,110.28974,604.26105,-47.84128,89.689705,603.9518,14.263683,86.07704,588.3059,1.8490266,46.979874,585.9449,-4.503555,20.843796,581.324,-9.185063,-0.995815,575.17365,39.37919,80.479416,582.5367,36.210297,36.966164,580.07007,34.791946,8.295623,576.0133,33.658493,-15.374504,571.141,62.46326,84.278435,577.6117,65.76108,44.136597,572.81757,68.35282,17.968378,569.662,69.38662,-4.199292,566.60767,84.076416,94.617096,572.9609,96.35598,64.95914,568.3192,103.321884,44.76694,565.78455,107.70204,25.899664,563.4406
58.07559,173.46631,592.3474,14.324521,161.27989,595.4438,-15.012593,135.26309,598.70825,-30.271803,110.791084,604.12775,-47.37654,90.074425,604.3356,14.18253,86.3537,588.50287,2.5609617,47.472427,586.51874,-3.540735,21.597767,581.99866,-7.964461,-0.16225195,576.0434,39.313637,80.72707,582.5859,35.619686,37.489178,579.61,34.017467,9.002427,575.4691,33.175846,-14.7820835,571.02185,62.31091,84.59104,577.61835,66.46018,44.27795,573.2452,69.52765,17.945564,570.2629,71.18425,-4.714608,567.4965,83.912926,95.15659,572.9459,96.60649,65.62539,568.64954,103.5778,45.28976,566.2066,107.68546,26.107168,563.7517
58.05865,173.71872,592.6225,14.28353,161.71634,595.75806,-15.726973,135.54205,598.42725,-31.480284,110.97694,603.44214,-48.77309,90.36194,603.51056,13.818677,86.36357,588.2845,2.0692832,47.262844,586.31067,-4.033923,21.592167,581.77606,-8.342987,-0.043519832,575.78546,39.383495,80.95608,582.5376,35.011585,37.732468,579.1695,32.707882,9.1202135,574.6374,31.023212,-14.634364,569.53876,62.798435,84.93604,577.66284,66.212166,44.69808,573.0105,68.962524,18.120495,569.90204,70.38665,-4.5419703,566.9085,84.745125,95.49227,573.041,96.53742,65.73553,568.37537,102.85941,45.323032,565.64215,106.62216,26.244328,562.9491
58.765614,173.79796,593.4835,14.751101,162.15517,596.042,-15.7040615,136.0805,598.27454,-31.804253,111.471344,603.0377,-48.938385,90.71917,603.3649,12.945833,86.71054,587.4716,0.6742598,47.509502,585.2049,-6.015151,22.073008,580.2469,-10.948708,0.5806463,573.8042,39.035686,81.2043,582.1332,35.2412,37.220837,579.48444,33.576794,8.211477,575.4559,32.36032,-15.7762165,570.66064,62.611134,85.17334,577.42346,66.09349,45.031723,572.98285,69.18479,18.516962,570.10864,70.98405,-3.991976,567.3159,84.55003,95.68483,572.89996,96.0936,65.99932,568.1513,102.43686,45.661564,565.38635,106.37358,26.616314,562.6868
58.467854,173.67683,593.4238,14.430367,162.12106,595.9545,-16.054533,135.99995,597.9803,-32.066463,111.52109,602.5701,-49.56455,91.03863,602.4114,13.103417,86.956894,587.87427,0.82886106,47.527035,585.54224,-5.953059,21.850754,580.51056,-10.785263,0.23171076,574.2365,38.58465,81.49624,581.9156,34.32321,37.910954,578.7487,32.68986,8.882429,574.7957,31.727089,-15.330671,570.3583,62.137787,85.27684,577.1927,65.18368,45.555923,571.9833,68.08888,19.129873,569.1048,69.916565,-3.335135,566.5273,84.18906,95.50499,572.84174,95.24004,65.65083,567.78595,101.674545,45.446842,565.184,106.18011,26.681778,563.0306
58.18058,173.63359,593.2889,14.32941,162.00365,595.82446,-16.146118,135.87746,597.9122,-32.675365,111.4561,602.06836,-50.014763,90.753296,602.04333,12.886462,86.823875,587.85785,0.5363892,47.503635,585.45624,-5.822337,21.643202,580.77155,-10.453043,-0.0017659938,574.5723,38.280514,81.46481,581.7281,34.274696,37.861492,578.70776,32.945522,8.775365,574.94507,32.266586,-15.616809,570.6938,61.691902,85.38912,576.88947,65.073875,45.323788,571.9803,68.61132,18.625937,569.50085,70.93922,-4.3290243,567.18286,83.54528,95.8562,572.34094,95.12325,66.2735,567.73914,101.79392,45.966694,565.3209,106.28448,26.807411,563.1202
57.079296,173.67471,592.1949,13.9650955,162.07686,595.3091,-16.172352,136.31984,597.5637,-32.66514,111.8836,601.5614,-49.28409,90.988556,602.33875,13.3231535,87.3737,588.1305,1.3532312,48.435425,585.9992,-5.2246027,23.087059,580.985,-10.244781,1.7934647,574.43506,38.605526,81.88271,581.86566,35.337658,38.03154,579.4284,33.777924,9.013428,575.47266,32.528084,-15.144936,570.8479,61.82828,85.71321,576.8292,65.05538,45.75296,571.9491,68.166435,19.327757,569.1335,69.990944,-3.3329408,566.466,83.75098,96.12819,572.2157,95.78109,66.50356,567.88947,102.23186,46.185036,565.3585,106.11946,27.061916,562.91156
57.787365,174.6905,592.79614,13.761043,162.89728,595.23267,-16.607428,136.90854,597.5226,-32.87441,112.43131,602.00977,-49.660027,91.613594,602.1954,13.511515,87.87526,588.2425,1.0976231,48.839577,585.8625,-5.980371,23.399824,580.5226,-11.314342,2.0223837,573.7086,38.857346,82.217766,582.09,34.701263,38.825504,578.87036,32.44439,10.067893,574.36646,30.756872,-13.834681,569.45074,61.94753,86.010735,577.01447,64.49842,46.492077,571.6446,67.00679,20.038532,568.38696,68.40157,-2.502931,565.2714,83.78082,96.39117,572.54456,95.66803,66.66636,568.1703,102.11857,46.259327,565.5147,106.1646,27.152536,562.82733
